ID	GLOSS	FREQUENCY
1314	QUIET	319
1122	WAGES	319
1537	SPRINGTIME	319
859	STOVE	318
3	BRAVE	318
2708	TALK	318
1656	NEVER	318
689	BETWEEN	317
2001	PAINTING	317
202	STRENGTH	316
1669	ANCESTORS	315
2272	HOT OR WARM	315
1713	EIGHTEEN	315
1001	BLACKSMITH	314
3033	SCARED	314
203	MARRY	312
2880	HALT (STOP)	312
154	UDDER	312
1400	THIN (SLIM)	311
1322	BREAKFAST	311
2420	YOUNGER SISTER (OF MAN)	311
1795	BANANA TREE	310
119	DIVE	310
1367	CROSS	310
943	WATERFALL	310
453	RAINY SEASON	310
1655	BLINK	309
174	PROUD	309
1689	SMOKE (INHALE)	309
1818	ADJUDICATE	309
2144	SPRING OR WELL	309
526	HOWL	308
743	END (OF TIME)	308
289	MOLD	307
1467	CIRCLE	307
1932	GUESS	306
1054	SMALLPOX	306
1013	FRESHWATER EEL	306
1095	LET GO OR SET FREE	306
505	PARENTS	306
3458	SILENCE	306
1635	OBEY	305
1477	KEEP	305
1544	SOMETIMES	305
1321	BOTTLE	304
190	MOW	304
14	YOKE	304
1787	LOOM	304
1708	THIRTEEN	304
183	BAKE	304
1178	NOSTRIL	304
134	FAULT	304
509	CERTAIN	304
653	PLANT (VEGETATION)	303
921	VALLEY	303
300	RATTLE	302
932	BARLEY	301
1587	SMELL (STINK)	301
849	SPRING (OF WATER)	300
1021	TOWEL	300
421	RETREAT	300
703	SOON	300
1875	REGRET	299
1049	MOLAR TOOTH	299
1859	THIRD	299
1528	FORGIVE	299
272	TONGS	298
2255	FATHER-IN-LAW (OF MAN)	298
3294	BRAID (VERB) OR WEAVE (BASKET)	298
2190	TASTE	298
854	KETTLE	298
753	PUPIL (STUDENT)	298
1848	QUARREL	297
1451	SMILE	297
1605	SKULL	297
531	HOW MUCH	297
2350	EARTHWORM	296
1990	BECOME	295
2334	MELT	295
412	CARRY IN HAND	295
1042	CARPENTER	295
338	RAKE	295
